end,value,state,type
2017-11-18,240000,nat,h
2017-11-25,237000,nat,h
2017-12-02,235000,nat,h
2017-12-09,234000,nat,h
2017-12-16,244000,nat,h
2017-12-23,245000,nat,h
2017-12-30,246000,nat,h
2018-01-06,250000,nat,h
2018-01-13,230000,nat,h
2018-01-20,238000,nat,h
2018-01-27,225000,nat,h
2018-02-03,219000,nat,h
2018-02-10,226000,nat,h
2018-02-17,216000,nat,h
2018-02-24,216000,nat,h
2018-03-03,223000,nat,h
2018-03-10,222000,nat,h
2018-03-17,221000,nat,h
2018-03-24,217000,nat,h
2018-03-31,231000,nat,h
2018-04-07,227000,nat,h
2018-04-14,227000,nat,h
2018-04-21,210000,nat,h
2018-04-28,213000,nat,h
2018-05-05,211000,nat,h
2018-05-12,221000,nat,h
2018-05-19,227000,nat,h
2018-05-26,221000,nat,h
2018-06-02,220000,nat,h
2018-06-09,219000,nat,h
2018-06-16,219000,nat,h
2018-06-23,223000,nat,h
2018-06-30,229000,nat,h
2018-07-07,212000,nat,h
2018-07-14,212000,nat,h
2018-07-21,217000,nat,h
2018-07-28,220000,nat,h
2018-08-04,215000,nat,h
2018-08-11,215000,nat,h
2018-08-18,214000,nat,h
2018-08-25,215000,nat,h
2018-09-01,210000,nat,h
2018-09-08,208000,nat,h
2018-09-15,212000,nat,h
2018-09-22,212000,nat,h
2018-09-29,218000,nat,h
2018-10-06,212000,nat,h
2018-10-13,215000,nat,h
2018-10-20,218000,nat,h
2018-10-27,219000,nat,h
2018-11-03,217000,nat,h
2018-11-10,223000,nat,h
2018-11-17,224000,nat,h
2018-11-24,234000,nat,h
2018-12-01,229000,nat,h
2018-12-08,213000,nat,h
2018-12-15,220000,nat,h
2018-12-22,223000,nat,h
2018-12-29,231000,nat,h
2019-01-05,221000,nat,h
2019-01-12,217000,nat,h
2019-01-19,211000,nat,h
2019-01-26,244000,nat,h
2019-02-02,230000,nat,h
2019-02-09,231000,nat,h
2019-02-16,213000,nat,h
2019-02-23,224000,nat,h
2019-03-02,218000,nat,h
2019-03-09,224000,nat,h
2019-03-16,216000,nat,h
2019-03-23,212000,nat,h
2019-03-30,204000,nat,h
2019-04-06,197000,nat,h
2019-04-13,193000,nat,h
2019-04-20,230000,nat,h
2019-04-27,230000,nat,h
2019-05-04,228000,nat,h
2019-05-11,212000,nat,h
2019-05-18,212000,nat,h
2019-05-25,218000,nat,h
2019-06-01,219000,nat,h
2019-06-08,222000,nat,h
2019-06-15,217000,nat,h
2019-06-22,229000,nat,h
2019-06-29,222000,nat,h
2019-07-06,208000,nat,h
2019-07-13,216000,nat,h
2019-07-20,207000,nat,h
2019-07-27,217000,nat,h
2019-08-03,211000,nat,h
2019-08-10,221000,nat,h
2019-08-17,211000,nat,h
2019-08-24,216000,nat,h
2019-08-31,219000,nat,h
2019-09-07,206000,nat,h
2019-09-14,210000,nat,h
2019-09-21,215000,nat,h
2019-09-28,220000,nat,h
2019-10-05,210000,nat,h
2019-10-12,218000,nat,h
2019-10-19,213000,nat,h
2019-10-26,219000,nat,h
2019-11-02,211000,nat,h
2019-11-09,227000,nat,h
2019-11-16,228000,nat,h
2019-11-23,213000,nat,h
2019-11-30,203000,nat,h
2019-12-07,252000,nat,h
2019-12-14,235000,nat,h
2019-12-21,224000,nat,h
2019-12-28,223000,nat,h
2020-01-04,214000,nat,h
2020-01-11,205000,nat,h
2020-01-18,223000,nat,h
2020-01-25,217000,nat,h
2020-02-01,203000,nat,h
2020-02-08,206000,nat,h
2020-02-15,211000,nat,h
2020-02-22,219000,nat,h
2020-02-29,215000,nat,h
2020-03-07,211000,nat,h
2020-03-14,282000,nat,h
2020-03-21,3283000,nat,a
